"Year","Player","Pos","Age","Tm","G","MP","PTS","AST","TRB","STL","BLK","FG.","X3P","X3PA","X3P.","FT.","PER","WS","BPM","VORP","TS."
1990,"Stuart Gray","C",26,"TOT",58,560,116,19,145,15,26,0.424,0,5,0,0.681,8.5,0.6,-3.3,-0.2,0.485
1990,"Stuart Gray","C",26,"CHH",39,466,101,17,131,12,24,0.463,0,2,0,0.641,10.2,0.7,-2.4,0,0.509
1990,"Stuart Gray","C",26,"NYK",19,94,15,2,14,3,2,0.235,0,3,0,0.875,-0.2,-0.1,-7.6,-0.1,0.365
1990,"Jeff Grayer","SF",24,"MIL",71,1427,548,107,217,48,10,0.46,1,8,0.125,0.651,11.4,1.5,-3,-0.4,0.495
1990,"A.C. Green","PF",26,"LAL",82,2709,1061,90,712,66,50,0.478,13,46,0.283,0.751,14.7,7.7,0.4,1.6,0.548
1990,"Rickey Green","PG",35,"IND",69,927,244,182,54,51,1,0.433,1,11,0.091,0.843,10.9,0.7,-5.2,-0.7,0.481
1990,"Sidney Green","C",29,"ORL",73,1860,761,99,588,50,26,0.468,1,3,0.333,0.651,12.7,1.7,-2.8,-0.4,0.501
1990,"Dave Greenwood","PF",32,"DET",37,205,60,12,78,4,9,0.423,0,0,NA,0.552,10.9,0.4,-2.5,0,0.463
1990,"Darrell Griffith","SG",31,"UTA",82,1444,733,63,166,68,19,0.464,80,215,0.372,0.654,13.6,2.5,-0.4,0.6,0.536
1990,"Scott Haffner","PG",23,"MIA",43,559,196,80,51,13,2,0.406,3,21,0.143,0.68,8.3,-0.1,-6.7,-0.7,0.43
1990,"Jack Haley","PF",26,"TOT",67,1084,361,26,300,18,12,0.398,0,1,0,0.68,8.5,0.3,-6.9,-1.3,0.449
1990,"Jack Haley","PF",26,"CHI",11,58,25,4,18,0,1,0.45,0,0,NA,1,12.3,0,-7.2,-0.1,0.542
1990,"Jack Haley","PF",26,"NJN",56,1026,336,22,282,18,11,0.394,0,1,0,0.661,8.2,0.3,-6.8,-1.3,0.443
1990,"Tom Hammonds","PF",22,"WSB",61,805,321,51,168,11,14,0.437,0,1,0,0.643,10.5,0.5,-5.2,-0.6,0.475
1990,"Bob Hansen","SG",29,"UTA",81,2174,617,149,229,52,11,0.467,54,154,0.351,0.516,8.5,2.8,0,1.1,0.517
1990,"Bill Hanzlik","PF",32,"DEN",81,1605,500,186,207,78,29,0.452,6,31,0.194,0.743,10.3,2.9,-0.4,0.6,0.525
1990,"Tim Hardaway","PG",23,"GSW",79,2663,1162,689,310,165,12,0.471,23,84,0.274,0.764,16,3.3,-0.1,1.3,0.525
1990,"Derek Harper","PG",28,"DAL",82,3007,1473,609,244,187,26,0.488,89,240,0.371,0.794,19.8,9.9,4.3,4.8,0.567
1990,"Ron Harper","SG",26,"TOT",35,1367,798,182,206,81,41,0.473,14,51,0.275,0.788,20.2,3.9,4.3,2.2,0.54
1990,"Ron Harper","SG",26,"CLE",7,262,154,49,48,14,9,0.442,1,5,0.2,0.756,21.3,0.8,5,0.5,0.493
1990,"Ron Harper","SG",26,"LAC",28,1105,644,133,158,67,32,0.481,13,46,0.283,0.795,20,3.2,4.2,1.7,0.553
1990,"Steve Harris","SG",26,"LAC",15,93,31,1,10,7,1,0.35,0,0,NA,0.75,6,-0.1,-8.8,-0.2,0.371
1990,"Scott Hastings","PF",29,"DET",40,166,42,8,32,3,3,0.303,3,12,0.25,0.864,7,0.3,-2.8,0,0.492
1990,"Hersey Hawkins","SG",23,"PHI",82,2856,1515,261,304,130,28,0.46,84,200,0.42,0.888,17,8,2,2.9,0.57
1990,"Gerald Henderson","PG",34,"TOT",57,464,135,74,43,16,2,0.486,17,38,0.447,0.8,11.9,1.2,-1.2,0.1,0.584
1990,"Gerald Henderson","PG",34,"MIL",11,129,27,13,12,8,0,0.423,3,7,0.429,1,7.4,0.1,-3.3,0,0.502
1990,"Gerald Henderson","PG",34,"DET",46,335,108,61,31,8,2,0.506,14,31,0.452,0.769,13.6,1.1,-0.4,0.1,0.609
1990,"Mike Higgins","SF",22,"TOT",11,50,14,3,4,2,2,0.375,0,0,NA,0.8,10.9,0.1,-1.1,0,0.565
1990,"Mike Higgins","SF",22,"LAL",6,18,1,1,1,1,2,NA,0,0,NA,0.5,7.5,0,3.9,0,0.568
1990,"Mike Higgins","SF",22,"DEN",5,32,13,2,3,1,0,0.375,0,0,NA,0.875,12.9,0.1,-4,0,0.564
1990,"Rod Higgins","PF",30,"GSW",82,1993,909,129,422,47,53,0.481,67,193,0.347,0.821,15.5,5,0.8,1.4,0.6
1990,"Roy Hinson","PF",28,"NJN",25,793,376,22,172,14,27,0.507,0,0,NA,0.869,15.2,1.8,-1.7,0.1,0.57
1990,"Craig Hodges","SG",29,"CHI",63,1055,407,110,53,30,2,0.438,87,181,0.481,0.909,12.5,2.6,-2.3,-0.1,0.589
1990,"Mike Holton","PG",28,"CHH",16,109,29,16,2,1,0,0.538,0,0,NA,0.5,2.9,-0.2,-12.1,-0.3,0.539
1990,"Dave Hoppen","C",25,"CHH",10,135,40,6,36,2,1,0.39,0,0,NA,0.8,7.7,0,-4.9,-0.1,0.441
1990,"Dennis Hopson","SG",24,"NJN",79,2551,1251,151,279,100,51,0.434,32,101,0.317,0.792,13.6,3.1,-1.2,0.5,0.503
1990,"Tito Horford","C",24,"MIL",35,236,51,2,59,5,16,0.29,0,0,NA,0.625,5.1,-0.2,-9.6,-0.5,0.351
1990,"Jeff Hornacek","SG",26,"PHO",67,2278,1179,337,313,117,14,0.536,40,98,0.408,0.856,19.6,8.7,5.2,4.1,0.596
1990,"Ed Horton","PF",22,"WSB",45,374,202,19,108,9,5,0.494,0,4,0,0.609,14.5,0.4,-4.1,-0.2,0.525
1990,"Eddie Hughes","PG",29,"DEN",60,892,209,116,70,48,1,0.411,20,49,0.408,0.676,8.3,1,-2.5,-0.1,0.482
1990,"Jay Humphries","PG",27,"MIL",81,2818,1237,472,269,156,11,0.494,21,70,0.3,0.786,16.4,7.6,1.5,2.5,0.547
